name,query,execution_target,multitenant,nonmultitenant,check
2.3.1 Ensure 'BACKGROUND_CORE_DUMP' Is Not Set To 'Full',"SELECT DECODE(V.CON_ID,0,'ENTIRE-'||SYS_CONTEXT('USERENV','DB_NAME'),1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'),CON_ID_TO_CON_NAME(V.CON_ID)) AS CONTAINERNAME, UPPER(V.VALUE) FROM GV$SYSTEM_PARAMETER V WHERE UPPER(NAME) = 'BACKGROUND_CORE_DUMP' AND UPPER(VALUE) = 'FULL' ORDER BY CON_ID;",db_query,null,null,TRUE
2.3.2 Ensure 'SHADOW_CORE_DUMP' Is Not Set To 'Full',"SELECT DECODE(V.CON_ID,0,'ENTIRE-'||SYS_CONTEXT('USERENV','DB_NAME'),1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'),CON_ID_TO_CON_NAME(V.CON_ID)) AS CONTAINERNAME, UPPER(NAME), UPPER(V.VALUE) FROM GV$SYSTEM_PARAMETER V WHERE UPPER(NAME) = 'SHADOW_CORE_DUMP' AND UPPER(VALUE) = 'FULL' ORDER BY CON_ID;",db_query,null,null,TRUE
2.3.3 Ensure 'MLE_PROG_LANGUAGES' Is Set To 'OFF' ,"SELECT DECODE(V.CON_ID,0,'ENTIRE-'||SYS_CONTEXT('USERENV','DB_NAME'),1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'),CON_ID_TO_CON_NAME(V.CON_ID)) AS CONTAINERNAME, UPPER(V.VALUE) FROM GV$SYSTEM_PARAMETER V WHERE UPPER(NAME) = 'MLE_PROG_LANGUAGES' AND UPPER(VALUE) != 'OFF' ORDER BY CON_ID;",db_query,null,null,TRUE
2.3.4 Ensure 'ALLOW_GROUP_ACCESS_TO_SGA' Is Set To `FALSE`,"SELECT DECODE(V.CON_ID,0,'ENTIRE-'||SYS_CONTEXT('USERENV','DB_NAME'),1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'),CON_ID_TO_CON_NAME(V.CON_ID)) AS CONTAINERNAME, UPPER(V.VALUE) FROM GV$SYSTEM_PARAMETER V WHERE UPPER(NAME) = 'ALLOW_GROUP_ACCESS_TO_SGA' AND UPPER(VALUE) != 'FALSE' ORDER BY CON_ID;",db_query,null,null,TRUE
2.3.5 Review Undocumented (Underscore) Parameters Not Set To 'DEFAULT' Values,"SELECT DECODE(V.CON_ID,0,'ENTIRE-'||SYS_CONTEXT('USERENV','DB_NAME'),1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'),CON_ID_TO_CON_NAME(V.CON_ID)) AS CONTAINERNAME, UPPER(NAME), UPPER(V.VALUE) FROM GV$SYSTEM_PARAMETER V WHERE SUBSTR(NAME,1,1) = '_' AND ISDEFAULT = 'FALSE';",db_query,null,null,TRUE
2.3.6 Ensure 'OS_ROLES' Is Set To 'FALSE' (Automated) ,"SELECT DECODE(V.CON_ID,0,'ENTIRE-'||SYS_CONTEXT('USERENV','DB_NAME'),1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'),CON_ID_TO_CON_NAME(V.CON_ID)) AS CONTAINERNAME, UPPER(NAME), UPPER(V.VALUE) FROM GV$SYSTEM_PARAMETER V WHERE UPPER(NAME) = 'OS_ROLES' AND UPPER(VALUE) != 'FALSE' ORDER BY CON_ID;",db_query,null,null,TRUE
2.3.7 Ensure 'REMOTE_OS_ROLES' Is Set To 'FALSE',"SELECT DECODE(V.CON_ID,0,'ENTIRE-'||SYS_CONTEXT('USERENV','DB_NAME'),1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'),CON_ID_TO_CON_NAME(V.CON_ID)) AS CONTAINERNAME, UPPER(NAME), UPPER(V.VALUE) FROM GV$SYSTEM_PARAMETER V WHERE UPPER(NAME) = 'REMOTE_OS_ROLES' AND UPPER(VALUE) != 'FALSE' ORDER BY CON_ID;",db_query,null,null,TRUE
2.3.8 Ensure 'SEC_MAX_FAILED_LOGIN_ATTEMPTS' Is Set To '3' Or Less,"SELECT DECODE(V.CON_ID,0,'ENTIRE-'||SYS_CONTEXT('USERENV','DB_NAME'), 1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'), CON_ID_TO_CON_NAME(V.CON_ID)) AS CONTAINERNAME, UPPER(NAME),UPPER(V.VALUE) FROM GV$SYSTEM_PARAMETER V WHERE UPPER(NAME)='SEC_MAX_FAILED_LOGIN_ATTEMPTS' AND TO_NUMBER(DECODE(VALUE,'1',1,'2',2,'3',3,9999)) > 3 ;",db_query,null,null,TRUE
"2.3.9 Ensure 'SEC_PROTOCOL_ERROR_FURTHER_ACTION' Is Set To '(DROP,3)'","SELECT DECODE(V.CON_ID,0,'ENTIRE-'||SYS_CONTEXT('USERENV','DB_NAME'), 1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'), CON_ID_TO_CON_NAME(V.CON_ID)) AS CONTAINERNAME, UPPER(V.VALUE) FROM GV$SYSTEM_PARAMETER V WHERE UPPER(NAME) = 'SEC_PROTOCOL_ERROR_FURTHER_ACTION' AND UPPER(VALUE) NOT IN ('(DROP,3)','(DROP, 3)' ) ORDER BY CON_ID;",db_query,null,null,TRUE
2.3.10 Ensure 'SEC_PROTOCOL_ERROR_TRACE_ACTION' Is Set To 'LOG',"SELECT DECODE(V.CON_ID,0,'ENTIRE-'||SYS_CONTEXT('USERENV','DB_NAME'), 1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'), CON_ID_TO_CON_NAME(V.CON_ID)) AS CONTAINERNAME, UPPER(V.VALUE) FROM GV$SYSTEM_PARAMETER V WHERE UPPER(NAME) = 'SEC_PROTOCOL_ERROR_TRACE_ACTION' AND UPPER(VALUE) != 'LOG' ORDER BY CON_ID;",db_query,null,null,TRUE
