name,expected_value,comparison_type,field_to_check,description,remediation
1.3 Ensure systemd Service Files Are Enabled,enabled,s,s,"Confirm, and correct if necessary, the PostgreSQL systemd service is enabled.","Irrespective of package source, PostgreSQL services can be identified because it 
typically includes the text string ""postgresql"". PGDG installs do not automatically 
register the service as a ""want"" of the default systemd target. Multiple instances of 
PostgreSQL services often distinguish themselves using a version number. 

# whoami 
root 
# systemctl enable postgresql-16 
Created symlink /etc/systemd/system/multi-user.target.wants/postgresql
16.service → /usr/lib/systemd/system/postgresql-16.service. 
# systemctl is-enabled postgresql-16.service 
enabled"
1.4 Ensure Data Cluster Initialized Successfully,Initializing database ... OK,s,s,First-time installs of a given PostgreSQL major release require the instantiation of the database cluster. A database cluster is a collection of databases that are managed by a single server instance.,"Attempting to instantiate a data cluster to an existing non-empty directory will fail: 

# whoami 
root 
# PGSETUP_INITDB_OPTIONS=""-k"" /usr/pgsql-16/bin/postgresql-16-setup initdb 
Data directory is not empty! 
In the case of a cluster instantiation failure, one must delete/remove the entire data 
cluster directory and repeat the initdb command: 

# whoami 
root 
# rm -rf ~postgres/16 
# PGSETUP_INITDB_OPTIONS=""-k"" /usr/pgsql-16/bin/postgresql-16-setup initdb 
Initializing database ... OK"
3.1.2 Ensure the log destinations are set correctly,s,s,s,"PostgreSQL supports several methods for logging server messages, including stderr, csvlog, syslog, and jsonlog. On Windows, eventlog is also supported. One or more of these destinations should be set for server log output.","Execute the following SQL statements to remediate this setting (in this example, setting 
the log destination to csvlog): 

postgres=# alter system set log_destination = 'csvlog'; 
ALTER SYSTEM 
postgres=# select pg_reload_conf(); 
pg_reload_conf ---------------- 
t 
(1 row)"
3.1.3 Ensure the logging collector is enabled,on,equals,logging_collector,The logging collector is a background process that captures log messages sent to stderr and redirects them into log files. The logging_collector setting must be enabled in order for this process to run. It can only be set at the server start.,"Execute the following SQL statement(s) to remediate this setting: 
postgres=# alter system set logging_collector = 'on'; 
ALTER SYSTEM 
Unfortunately, this setting can only be changed at the server (re)start. As root, restart 
the PostgreSQL service for this change to take effect: 

# whoami 
root 
# systemctl restart postgresql-16 
# systemctl status postgresql-16|grep 'ago$' 
Active: active (running) since <date>; <count>s ago"
3.1.4 Ensure the log file destination directory is set correctly,log,equals,log_directory,The log_directory setting specifies the destination directory for log files when log_destination is stderr or csvlog. It can be specified as relative to the cluster data directory ($PGDATA) or as an absolute path. log_directory should be set according to your organization's logging policy.,"Execute the following SQL statement(s) to remediate this setting: 

postgres=# alter system set log_directory='/var/log/postgres'; 
ALTER SYSTEM 
postgres=# select pg_reload_conf(); 
pg_reload_conf ---------------- 
t 
(1 row) 
postgres=# show log_directory; 
log_directory --------------- 
/var/log/postgres 
(1 row)

Note: The use of /var/log/postgres, above, is an example. This should be set to an 
appropriate path as defined by your organization's logging requirements. Having said 
that, it is a good idea to have the logs outside of your PGDATA directory so that they are 
not included by things like pg_basebackup or pgBackRest"
3.1.5 Ensure the filename pattern for log files is set correctly,postgresql.log,not_equals,log_filename,"The log_filename setting specifies the filename pattern for log files. The value for log_filename should match your organization's logging policy. The value is treated as a strftime pattern, so %-escapes can be used to specify time varying file names. The supported %-escapes are similar to those listed in the Open Group's strftime specification. If you specify a file name without escapes, you should plan to use a log rotation utility to avoid eventually filling the partition that contains log_directory. If there are any time-zone-dependent %-escapes, the computation is done in the zone specified by log_timezone. Also, the system's strftime is not used directly, so platform-specific (nonstandard) extensions do not work. If CSV-format output is enabled in log_destination, .csv will be appended to the log filename. (If log_filename ends in .log, the suffix is replaced instead.)","Execute the following SQL statement(s) to remediate this setting: 
postgres=# alter system set log_filename='postgresql-%Y%m%d.log'; 
ALTER SYSTEM 
postgres=# select pg_reload_conf(); 
pg_reload_conf ---------------- 
t 
(1 row) 
postgres=# show log_filename; 
   log_filename ------------------- 
 postgresql-%Y%m%d.log 
(1 row) "
3.1.6 Ensure the log file permissions are set correctly,"""0600"",""0640""",in_list,log_file_mode,"The log_file_mode setting determines the file permissions for log files when logging_collector is enabled. The parameter value is expected to be a numeric mode specification in the form accepted by the chmod and umask system calls. (To use the customary octal format, the number must start with a 0 (zero).) The permissions should be set to allow only the necessary access to authorized personnel. In most cases, the best setting is 0600, so that only the server owner can read or write the log files. The other commonly useful setting is 0640, allowing members of the owner's group to read the files, although to make use of that, you will need to either alter the log_directory setting to store the log files outside the cluster data directory or use PGSETUP_INITDB_OPTIONS=""-k -g"" when initializing the cluster.","Execute the following SQL statement(s) to remediate this setting (with the example 
assuming the desired value of 0600): 
postgres=# alter system set log_file_mode = '0600'; 
ALTER SYSTEM 
postgres=# select pg_reload_conf(); 
pg_reload_conf ---------------- 
t 
(1 row) 
postgres=# show log_file_mode; 
log_file_mode
--------------- 
0600 
(1 row) "
3.1.7 Ensure 'log_truncate_on_rotation' is enabled,on,equals,log_truncate_on_rotation,"Enabling the log_truncate_on_rotation setting when logging_collector is enabled causes PostgreSQL to truncate (overwrite) existing log files with the same name during log rotation instead of appending to them. For example, using this setting in combination with a log_filename setting value like postgresql-%H.log would result in generating 24 hourly log files and then cyclically overwriting them:
postgresql-00.log 
postgresql-01.log 
[...] 
postgresql-23.log","Execute the following SQL statement(s) to remediate this setting: 
postgres=# alter system set log_truncate_on_rotation = 'on'; 
ALTER SYSTEM 
postgres=# select pg_reload_conf(); 
 pg_reload_conf ---------------- 
 t 
(1 row) 
postgres=# show log_truncate_on_rotation; 
 log_truncate_on_rotation -------------------------- 
 on 
(1 row) "
3.1.8 Ensure the maximum log file lifetime is set correctly,0,not_equals,log_rotation_age,"When logging_collector is enabled, the log_rotation_age parameter determines the maximum lifetime of an individual log file (depending on the value of log_filename). After this many minutes have elapsed, a new log file will be created via automatic log file rotation. Current best practices advise log rotation at least daily, but your organization's logging policy should dictate your rotation schedule","Execute the following SQL statement(s) to remediate this setting (in this example, 
setting it to one hour): 

postgres=# alter system set log_rotation_age='1h'; 
ALTER SYSTEM 
postgres=# select pg_reload_conf(); 
pg_reload_conf ---------------- 
t 
(1 row)"
3.1.9 Ensure the maximum log file size is set correctly,0,not_equals,log_rotation_size,"The log_rotation_size setting determines the maximum size of an individual log file. Once the maximum size is reached, automatic log file rotation will occur.","Execute the following SQL statement(s) to remediate this setting (in this example, 
setting it to 1GB): 

postgres=# alter system set log_rotation_size = '1GB'; 
ALTER SYSTEM 
postgres=# select pg_reload_conf(); 
pg_reload_conf ---------------- 
t 
(1 row)"
