audit_id,audit_name,audit_description,audit_remediation,check
2.1.1,Ensure autofs services are not in use,"
autofs allows automatic mounting of devices, typically including CD/DVDs and USB
drives.
","
Run the following commands to stop autofs.service and remove autofs package:
# systemctl stop autofs.service
# zypper remove autofs
- OR -
- IF - the autofs package is required as a dependency:
Run the following commands to stop and mask autofs.service:
# systemctl stop autofs.service
# systemctl mask autofs.service
",,TRUE
2.1.2,Ensure avahi daemon services are not in use,"
Avahi is a free zeroconf implementation, including a system for multicast DNS/DNS-SD
service discovery. Avahi allows programs to publish and discover services and hosts
running on a local network with no specific configuration. For example, a user can plug
a computer into a network and Avahi automatically finds printers to print to, files to look
at and people to talk to, as well as network services running on the machine.
","
Run the following commands to stop avahi-daemon.socket and avahi-
daemon.service, and remove the avahi package:
# systemctl stop avahi-daemon.socket avahi-daemon.service
# zypper remove avahi
- OR -
- IF - the avahi package is required as a dependency:
Run the following commands to stop and mask the avahi-daemon.socket and avahi-
daemon.service:
# systemctl stop avahi-daemon.socket avahi-daemon.service
# systemctl mask avahi-daemon.socket avahi-daemon.service
",,TRUE
2.1.3,Ensure dhcp server services are not in use,"
The Dynamic Host Configuration Protocol (DHCP) is a service that allows machines to
be dynamically assigned IP addresses. There are two versions of the DHCP protocol
DHCPv4 and DHCPv6. At startup the server may be started for one or the other via the -4
or -6 arguments
","
Run the following commands to stop dhcpd.service and dhcpd6.service and
remove dhcp-server package:
# systemctl stop dhcpd.service dhcpd6.service
# zypper remove dhcp-server
- OR -
- IF - the dhcp-server package is required as a dependency:
Run the following commands to stop and mask dhcpd.service and dhcpd6.service:
# systemctl stop dhcpd.service dhcpd6.service
# systemctl mask dhcpd.service dhcpd6.service
",,TRUE
2.1.4,Ensure dns server services are not in use,"
The Domain Name System (DNS) is a hierarchical naming system that maps names to
IP addresses for computers, services and other resources connected to a network.
","
Run the following commands to stop named.service and remove bind package:
# systemctl stop named.service
# zypper remove bind
- OR -
- IF - the bind package is required as a dependency:
Run the following commands to stop and mask named.service:
# systemctl stop named.service
# systemctl mask named.service
",,TRUE
2.1.5,Ensure dnsmasq services are not in use,"
dnsmasq is a lightweight tool that provides DNS caching, DNS forwarding and DHCP
(Dynamic Host Configuration Protocol) services.
","
Run the following commands to stop dnsmasq.service and remove dnsmasq package:
# systemctl stop dnsmasq.service
# zypper remove dnsmasq
- OR -
- IF - the dnsmasq package is required as a dependency:
Run the following commands to stop and mask the dnsmasq.service:
# systemctl stop dnsmasq.service
# systemctl mask dnsmasq.service
",,TRUE
2.1.6,Ensure samba file server services are not in use,"
The Samba daemon allows system administrators to configure their Linux systems to
share file systems and directories with Windows desktops. Samba will advertise the file
systems and directories via the Server Message Block (SMB) protocol. Windows
desktop users will be able to mount these directories and file systems as letter drives on
their systems.
","
Run the following command to stop smb.service and remove samba package:
# systemctl stop smb.service
# zypper remove samba
- OR -
- IF - the samba package is required as a dependency:
Run the following commands to stop and mask the smb.service:
# systemctl stop smb.service
# systemctl mask smb.service
",,TRUE
2.1.7,Ensure ldap server services are not in use,"
The Lightweight Directory Access Protocol (LDAP) was introduced as a replacement for
NIS/YP. It is a service that provides a method for looking up information from a central
database.
","
Run the following command remove the openldap2 and openldap2_5 packages:
# systemctl stop slapd.service
# zypper remove openldap2 openldap2_5
- OR -
- IF - the slapd package is required as a dependency:
Run the following commands to stop and mask slapd.service:
# systemctl stop slapd.service
# systemctl mask slapd.service
",,TRUE
2.1.8,Ensure ftp server services are not in use,"
FTP (File Transfer Protocol) is a traditional and widely used standard tool for
transferring files between a server and clients over a network, especially where no
authentication is necessary (permits anonymous users to connect to a server).
","
Run the following commands to stop vsftpd.service and remove vsftpd package:
# systemctl stop vsftpd.service
# zypper remove vsftpd
- OR -
- IF - the vsftpd package is required as a dependency:
Run the following commands to stop and mask the vsftpd.service:
# systemctl stop vsftpd.service
# systemctl mask vsftpd.service
Note: Other ftp server packages may exist. If not required and authorized by local site
policy, they should also be removed. If the package is required for a dependency, the
service should be stopped and masked.
",,TRUE
2.1.9,Ensure message access server services are not in use,"
dovecot and cyrus-imapd are open source IMAP and POP3 server packages for Linux
based systems.
","
Run the following commands to stop dovecot.socket, dovecot.service, and cyrus-
imapd.service, and remove dovecot and cyrus-imapd packages:
# systemctl stop dovecot.socket dovecot.service cyrus-imapd.service
# zypper remove dovecot cyrus-imapd
- OR -
- IF - a package is installed and is required for dependencies:
Run the following commands to stop and mask dovecot.socket, dovecot.service,
and cyrus-imapd.service:
# systemctl stop dovecot.socket dovecot.service cyrus-imapd.service
# systemctl mask dovecot.socket dovecot.service cyrus-imapd.service
",,TRUE
2.1.10,Ensure network file system services are not in use,"
The Network File System (NFS) is one of the first and most widely distributed file
systems in the UNIX environment. It provides the ability for systems to mount file
systems of other servers through the network.
","
Run the following command to stop nfs-server.service and remove nfs-kernel-
server package:
# systemctl stop nfs-server.service
# zypper remove nfs-kernel-server
- OR -
- IF - the nfs-kernel-server package is required as a dependency:
Run the following commands to stop and mask the nfs-server.service:
# systemctl stop nfs-server.service
# systemctl mask nfs-server.service
",,TRUE
2.1.11,Ensure nis server services are not in use,"
The Network Information Service (NIS), formerly known as Yellow Pages, is a client-
server directory service protocol used to distribute system configuration files. The NIS
client ( ypbind ) was used to bind a machine to an NIS server and receive the
distributed configuration files.
","
Run the following commands to stop ypserv.service and remove ypserv package:
# systemctl stop ypserv.service
# zypper remove ypserv
- OR -
- IF - the ypserv package is required as a dependency:
Run the following commands to stop and mask ypserv.service:
# systemctl stop ypserv.service
# systemctl mask ypserv.service
",,TRUE
2.1.12,Ensure print server services are not in use,"
The Common Unix Print System (CUPS) provides the ability to print to both local and
network printers. A system running CUPS can also accept print jobs from remote
systems and print them to local printers. It also provides a web based remote
administration capability.
","
Run the following commands to stop cups.socket and cups.service, and remove the
cups package:
# systemctl stop cups.socket cups.service
# zypper remove cups
- OR -
- IF - the cups package is required as a dependency:
Run the following commands to stop and mask the cups.socket and cups.service:
# systemctl stop cups.socket cups.service
# systemctl mask cups.socket cups.service
",,TRUE
2.1.13,Ensure rpcbind services are not in use,"
The rpcbind utility maps RPC services to the ports on which they listen. RPC
processes notify rpcbind when they start, registering the ports they are listening on and
the RPC program numbers they expect to serve. The client system then contacts
rpcbind on the server with a particular RPC program number. The rpcbind.service
redirects the client to the proper port number so it can communicate with the requested
service.
Portmapper is an RPC service, which always listens on tcp and udp 111, and is used to
map other RPC services (such as nfs, nlockmgr, quotad, mountd, etc.) to their
corresponding port number on the server. When a remote host makes an RPC call to
that server, it first consults with portmap to determine where the RPC server is listening
","
Run the following commands to stop rpcbind.socket and rpcbind.service, and
remove the rpcbind package:
# systemctl stop rpcbind.socket rpcbind.service
# zypper remove rpcbind
- OR -
- IF - the rpcbind package is required as a dependency:
Run the following commands to stop and mask the rpcbind.socket and
rpcbind.service:
# systemctl stop rpcbind.socket rpcbind.service
# systemctl mask rpcbind.socket rpcbind.service
",,TRUE
2.1.14,Ensure rsync services are not in use,"
The rsyncd.service can be used to synchronize files between systems over network
links.
","
Run the following commands to stop rsyncd.socket and rsyncd.service, and
remove the rsync package:
# systemctl stop rsyncd.socket rsyncd.service
# zypper remove rsync
- OR -
- IF - the rsync package is required as a dependency:
Run the following commands to stop and mask the rsyncd.socket and
rsyncd.service:
# systemctl stop rsyncd.socket rsyncd.service
# systemctl mask rsyncd.socket rsyncd.service
",,TRUE
