CISNo,audit_name,reg_query_path,reg_query_name,query_method,description
1.1.1,1.1.1 (L1) Ensure 'Enforce password history' is set to '24 or more password(s)' (Automated),Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Password Policy\Enforce password history,PasswordHistorySize,local_group_policy,"This policy setting determines the number of renewed, unique passwords that have to be associated with a user account before you can reuse an old password. The value for this policy setting must be between 0 and 24 passwords. The default value for stand- alone systems is 0 passwords, but the default setting when joined to a domain is 24 passwords. To maintain the effectiveness of this policy setting, use the Minimum password age setting to prevent users from repeatedly changing their password. The recommended state for this setting is: 24 or more password(s)."
1.1.2,"1.1.2 (L1) Ensure 'Maximum password age' is set to '365 or fewer days, but not 0' (Automated)",Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Password Policy\Maximum password age,MaximumPasswordAge,local_group_policy,"This policy setting defines how long a user can use their password before it expires. Values for this policy setting range from 0 to 999 days. If you set the value to 0, the password will never expire. Because attackers can crack passwords, the more frequently you change the password the less opportunity an attacker has to use a cracked password. However, the lower this value is set, the higher the potential for an increase in calls to help desk support due to users having to change their password or forgetting which password is current. The recommended state for this setting is 365 or fewer days, but not 0."
1.1.3,1.1.3 (L1) Ensure 'Minimum password age' is set to '1 or more day(s)' (Automated),Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Password Policy\Minimum password age,MinimumPasswordAge,local_group_policy,This policy setting determines the number of days that you must use a password before you can change it. The range of values for this policy setting is between 1 and 999 days. (You may also set the value to 0 to allow immediate password changes.) The default value for this setting is 0 days. The recommended state for this setting is: 1 or more day(s)).
1.1.4,1.1.4 (L1) Ensure 'Minimum password length' is set to '14 or more character(s)' (Automated),Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Password Policy\Minimum password length,MinimumPasswordLength,local_group_policy,"This policy setting determines the least number of characters that make up a password for a user account. There are many different theories about how to determine the best password length for an organization, but perhaps ""passphrase"" is a better term than ""password."" In Microsoft Windows 2000 or newer, passphrases can be quite long and can include spaces. Therefore, a phrase such as ""I want to drink a $5 milkshake"" is a valid passphrase; it is a considerably stronger password than an 8 or 10 character string of random numbers and letters, and yet is easier to remember. Users must be educated about the proper selection and maintenance of passwords, especially around password length. In enterprise environments, the ideal value for the Minimum password length setting is 14 characters, however you should adjust this value to meet your organization's business requirements. The recommended state for this setting is: 14 or more character(s)."
1.1.5,1.1.5 (L1) Ensure 'Password must meet complexity requirements' is set to 'Enabled' (Automated),Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Password Policy\Password must meet complexity requirements,PasswordComplexity,local_group_policy,"This policy setting checks all new passwords to ensure that they meet basic requirements for strong passwords. When this policy is enabled, passwords must meet the following minimum requirements: â€¢ Not contain the user's account name or parts of the user's full name that exceed two consecutive characters â€¢ Be at least six characters in length â€¢ Contain characters from three of the following categories: o English uppercase characters (A through Z) o English lowercase characters (a through z) o Base 10 digits (0 through 9) o Non-alphabetic characters (for example, !, $, #, %) o A catch-all category of any Unicode character that does not fall under the previous four categories. This fifth category can be regionally specific. Each additional character in a password increases its complexity exponentially. For instance, a seven-character, all lower-case alphabetic password would have 26 to the power of 7 (approximately 8 x 10 to the power of 9 or 8 billion) possible combinations. At 1,000,000 attempts per second (a capability of many password-cracking utilities), it would only take 133 minutes to crack. A seven-character alphabetic password with case sensitivity has 52 to the power of 7 combinations. A seven-character case-sensitive alphanumeric password without punctuation has 627 combinations. An eight-character password has 26 to the power of 8 (or 2 x 10 to the power of 11) possible combinations. Although this might seem to be a large number, at 1,000,000 attempts per second it would take only 59 hours to try all possible passwords. Remember, these times will significantly increase for passwords that use ALT characters and other special keyboard characters such as ""!"" or ""@"". Proper use of the password settings can help make it difficult to mount a brute force attack. The recommended state for this setting is: Enabled."
1.1.6,1.1.6 (L1) Ensure 'Relax minimum password length limits' is set to 'Enabled' (Automated),HKLM:\System\CurrentControlSet\Control\SAM,RelaxMinimumPasswordLengthLimits,registry,"This policy setting determines whether the minimum password length setting can be increased beyond the legacy limit of 14 characters. For more information, please see the following Microsoft Security Blog. The recommended state for this setting is: Enabled."
1.1.7,1.1.7 (L1) Ensure 'Store passwords using reversible encryption' is set to 'Disabled' (Automated),Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Password Policy\Store passwords using reversible encryption,ClearTextPassword,local_group_policy,"This policy setting determines whether the operating system stores passwords in a way that uses reversible encryption, which provides support for application protocols that require knowledge of the user's password for authentication purposes. Passwords that are stored with reversible encryption are essentially the same as plaintext versions of the passwords. The recommended state for this setting is: Disabled."
1.2.1,1.2.1 (L1) Ensure 'Account lockout duration' is set to '15 or more minute(s)' (Automated),Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Account Lockout Policy\Account lockout duration,LockoutDuration,local_group_policy,"This policy setting determines the length of time that must pass before a locked account is unlocked and a user can try to log on again. The setting does this by specifying the number of minutes a locked out account will remain unavailable. If the value for this policy setting is configured to 0, locked out accounts will remain locked out until an administrator manually unlocks them. Although it might seem like a good idea to configure the value for this policy setting to a high value, such a configuration will likely increase the number of calls that the help desk receives to unlock accounts locked by mistake. Users should be aware of the length of time a lock remains in place, so that they realize they only need to call the help desk if they have an extremely urgent need to regain access to their computer. The recommended state for this setting is: 15 or more minute(s)."
1.2.2,"1.2.2 (L1) Ensure 'Account lockout threshold' is set to '5 or fewer invalid logon attempt(s), but not 0' (Automated)",Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Account Lockout Policy\Account lockout threshold,LockoutBadCount,local_group_policy,"This policy setting determines the number of failed logon attempts before the account is locked. Setting this policy to 0 does not conform to the benchmark as doing so disables the account lockout threshold. The recommended state for this setting is: 5 or fewer invalid logon attempt(s), but not 0."
1.2.3,1.2.3 (L1) Ensure 'Allow Administrator account lockout' is set to 'Enabled' (Manual),Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Account Lockout Policies\Allow Administrator account lockout,AllowAdminLockout,local_group_policy,"This policy setting determines whether the built-in Administrator account is subject to the following Account Lockout Policy settings: Account lockout duration, Account lockout threshold, and Reset account lockout counter. By default, this account is excluded from the account lockout controls and will never be locked out with repeated bad password attempts. The recommended state for this setting is: Enabled."
