Name,Description,Settings,Remediation
1.2 Use Dedicated Least Privileged Account for MariaDB Daemon/Service (Automated),"As with any service installed on a host, it can be provided with its own user context. Providing a dedicated user to the service provides the ability to precisely constrain the service within the larger host context.",startswith:VARIABLE_VALUE:mysql  ,"/usr/sbin/groupadd -g 27 -o -r mysql >/dev/null 2>&1 || : 
/usr/sbin/useradd -M -N -g mysql -o -r -d /var/lib/mysql -s /bin/false \ -c ""MariaDB Server"" -u 27 mysql >/dev/null 2"
1.3 Disable MariaDB Command History (Automated) ,"On Unix, the mysql client writes a record of executed statements to a history file. By default, this file is named .mysql_history and is created in your home directory. To specify a different file, set the value of the MYSQL_HISTFILE environment variable. The .mysql_history file should be protected with a restrictive access mode because sensitive information might be written to it, such as the text of SQL statements that contain passwords.",equals:VARIABLE_VALUE:PASS, ln -s /dev/null $HOME/.mysql_history
1.4 Verify That the MYSQL_PWD Environment Variable is Not in Use (Automated),MariaDB can read a default database password from an environment variable called MYSQL_PWD. Avoiding use of this environment variable can better safeguard the confidentiality of MariaDB credentials.,equals:VARIABLE_VALUE:,"Check which users and/or scripts are setting MYSQL_PWD and change them to use a more secure method. For unattended logins, you should consider 2) Different authentication methods (e.g., X509 certificate verification)"
1.5 Ensure Interactive Login is Disabled (Automated),"When created, the MariaDB user may have interactive access to the operating system, which means that the MariaDB user could login to the host as any other user would.",endswith:VARIABLE_VALUE:/bin/false || endswith:VARIABLE_VALUE:/sbin/nologin ,Execute one of the following commands in a terminal: usermod -s /bin/false mysql Or usermod -s /sbin/nologin mysql
1.6 Verify That 'MYSQL_PWD' is Not Set in Users' Profiles (Automated),MariaDB can read a default database password from an environment variable called MYSQL_PWD.,endswith:VARIABLE_VALUE:No such file or directory || equals:VARIABLE_VALUE:,Check which users and/or scripts are setting MYSQL_PWD and change them to use a more secure method.
2.1.5 Point-in-Time Recovery (Automated),With binlogs it is possible to implement point-in-time recovery. This makes it possible to restore the changes between the last full backup and the point-in-time. Enabling binlogs is not sufficient. The binlogs need to be backed up to separate media. The restore procedure should be created and tested. The data in the binlog files may contain sensitive information which needs be stored in the proper location with restrictive permissions and may require encryption.,greaterthan:VARIABLE_VALUE:0,"Enable binlogs, then create and test a restore procedure."
2.9 Ensure MariaDB is Bound to an IP Address (Automated),"By default, the MariaDB server accepts TCP/IP connections from MariaDB user accounts on all server host IPv6 and IPv4 interfaces. You can make this configuration more restrictive by setting the bind_address configuration option to a specific IPv4 or IPv6 address so that the server only accepts TCP/IP connections on that address.",notequals:VARIABLE_VALUE: && notequals:VARIABLE_VALUE:*  &&  notequals:VARIABLE_VALUE:::,"For example, to have the MariaDB server only accept connections on a specific IPv4 address, add an entry similar to this under the [mysqld] option group in MariaDB configuration files: bind_address=192.0.2.24 This setting typically appears in /etc/mysql/mariadb.conf.d/50-server.cnf. In the case above, clients can connect to the server using --host=192.0.2.24. Connections on other server host addresses are not permitted."
2.10 Limit Accepted Transport Layer Security (TLS) Versions (Automated),MariaDB supports multiple versions of TLS. The higher the version the stronger the security and/or better the performance.,notcontains:value:TLSv1 && notcontains:value: TLSv1.1,"Set the version(s) of TLS you wish to accept by setting the tls_version option to a 
comma-separated (no whitespace) string in MariaDB configuration files. 
For example, to only accept TLS 1.2 or 1.3 connections, set tls_version likeso: 
tls_version=TLSv1.2,TLSv1.3 
Note: with this setting, only clients that support the specified TLS version(s) are able to 
establish an encrypted connection to the server. "
2.11 Require Client-Side Certificates (X.509) (Automated),Client-side certificates may be used as proof of identity.,check_all:ssl_type:X509,"Create or Alter users using the REQUIRE X509. 
For example: 
CREATE USER 'newuser2'@'%' IDENTIFIED BY <password> require x509; 
For accounts created with a REQUIRE X509 clause, clients must specify at least --ssl
cert and --ssl-key. In addition, --ssl-ca (or --ssl-capath) is recommended so that 
the public certificate provided by the server can be verified. 
For example: 
mysql --ssl-ca=ca.pem \ --ssl-cert=client-cert.pem \ --ssl-key=client-key.pem"
2.12 Ensure Only Approved Ciphers are Used (Automated),"MariaDB supports multiple encryption ciphers. Ciphers can vary in strength, speed and overhead.",notequals:VARIABLE_VALUE: ,"Set ssl_cipher to one or more approved cipher suites in your MariaDB configuration 
file, then restart MariaDB. 
For example, set: 
ssl_cipher='ECDHE-ECDSA-AES128-GCM-SHA256'"
3.1 Ensure 'datadir' Has Appropriate Permissions (Automated),The data directory is the location of the MariaDB databases.,notequals:VARIBALE_VALUE:,"chmod 750 <datadir> 
chown mysql:mysql <datadir> "
3.2 Ensure 'log_bin_basename' Files Have Appropriate Permissions (Automated),"MariaDB can operate using a variety of log files, each used for different purposes. These are the binary log (which can be encrypted), error log, slow query log, relay log, general log, and in the enterprise edition, the audit log (which can be encrypted). Because these are files on the host operating system, they are subject to the permissions and ownership structure provided by the host and may be accessible by users other than the MariaDB user. Additionally, using secure key management and at rest MariaDB encryption can further protect data from OS users.",equals:VARIABLE_VALUE: || endswith:VARIABLE_VALUE:No such file or directory,"chmod 660 <log file> 
chown mysql:mysql <log file> "
3.3 Ensure 'log_error' Has Appropriate Permissions (Automated),"MariaDB can operate using a variety of log files, each used for different purposes. These are the binary log (which can be encrypted), error log, slow query log, relay log, general log, and in the enterprise edition, the audit log (which can be encrypted). Because these are files on the host operating system, they are subject to the permissions and ownership structure provided by the host and may be accessible by users other than the MariaDB user. Additionally, using secure key management and at rest MariaDB encryption can further protect data from OS users. Much of the information about the state of MariaDB exists in MariaDB, the MariaDB performance_schema or informations_schema. In cases where the information you need is within a running MariaDB, use these methods as they are more secure as they do not require OS login and access.",notequals:VARIABLE_VALUE:,"chmod 600 <log file> 
chown mysql:mysql <log file>"
3.4 Ensure 'slow_query_log' Has Appropriate Permissions (Automated),"MariaDB can operate using a variety of log files, each used for different purposes. These are the binary log (which can be encrypted), error log, slow query log, relay log, general log, and in the enterprise edition, the audit log (which can be encrypted). Because these are files on the host operating system, they are subject to the permissions and ownership structure provided by the host and may be accessible by users other than the MariaDB user. Additionally, using secure key management and at rest MariaDB encryption can further protect data from OS users. Much of the information about the state of MariaDB exists in MariaDB, the MariaDB performance_schema or informations_schema. If you can get the information you need from within MariaDB that is more secure as it does not require OS access. If you are not going to use log files it is best to first disable (don’t enable) and remove any prior logs.",equals:VARIABLE_VALUE:it is not enabled  || equals:VARIABLE_VALUE:,"chmod 660 <log file> 
chown mysql:mysql <log file> "
3.5 Ensure 'relay_log_basename' Files Have Appropriate Permissions (Automated),"MariaDB can operate using a variety of log files, each used for different purposes. These are the binary log (which can be encrypted), error log, slow query log, relay log (which can be encrypted), general log, and in the enterprise edition, the audit log (which can be encrypted). Because these are files on the host operating system, they are subject to the permissions and ownership structure provided by the host and may be accessible by users other than the MariaDB user. Additionally, using secure key management and at rest MariaDB encryption can further protect data from OS users.",equals:VARIABLE_VALUE: || endswith:VARIABLE_VALUE: No such file or directory,"chmod 660 <log file> 
chown mysql:mysql <log file> "
3.8 Ensure Plugin Directory Has Appropriate Permissions (Automated),The plugin directory is the location of the MariaDB plugins. Plugins are storage engines or user defined functions (UDFs).,notequals:VARIABLE_VALUE:,"chmod 550 <plugin_dir Value> 
chown mysql:mysql <plugin_dir Value>"
4.3 Ensure 'allow-suspicious-udfs' is Set to 'OFF' (Automated),"This option prevents attaching arbitrary shared library functions as user-defined functions by checking for at least one corresponding method named _init, _deinit, _reset, _clear, or _add.",equals:VARIABLE_VALUE:,"Perform the following to establish the recommended state: 
• Remove --allow-suspicious-udfs from the mariadbd start up command line. 
• Remove allow-suspicious-udfs from the MariaDB option file."
4.4 Harden Usage for 'local_infile' on MariaDB Clients (Automated),The local_infile parameter dictates whether files located on the MariaDB client's computer can be loaded or selected via LOAD DATA INFILE or SELECT local_file.,LOCAL_INFILE:,"Upgrade all MariaDB clients and connectors to 10.2.0 or higher. 
In the case where using local_infile is needed, the following changes further harden 
security: 
On client side, secure by: 
Limiting the location from where data can be read using --load-data-local-dir. 
mariadb --local-infile=0 --load-data-local-dir=/my/local/data 
Adding TLS connection to assure server identity by requiring verification. 
mariadb --local-infile=0 --load-data-local-dir=/my/local/data --ssl
mode=VERIFY_IDENTITY 
If local_infile is not in use or if clients are not upgraded - add the following line to the 
[mariadbd] section of the MySQL configuration file and restart the MariaDB service: 
local-infile=0"
4.6 Ensure Symbolic Links are Disabled (Automated),"The symbolic-links and skip-symbolic-links options for MariaDB determine whether symbolic link support is available. When use of symbolic links is enabled, they have different effects depending on the host platform. When symbolic links are disabled, then symbolic links stored in files or entries in tables are not used by the database.",equals:VARIABLE_VALUE:DISABLED,"Perform the following actions to remediate this setting: 
• Open the MariaDB configuration file (mariadb.cnf) 
• Locate skip-symbolic-links in the configuration 
• Set the skip-symbolic-links to YES 
Note: If skip-symbolic-links does not exist, add it to the configuration file in the 
mariadbd section"
4.7 Ensure the 'secure_file_priv' is Configured Correctly (Automated),"The secure_file_priv option restricts to paths used by LOAD DATA INFILE or SELECT local_file. It is recommended that this option be set to a file system location that contains only resources expected to be loaded by MariaDB. Even better, if data import/export using LOAD DATA INFILE or SELECT local_file is not used, the functionality should be disabled entirely by setting --secure-file-priv to NULL.",equals:VARIABLE_VALUE:NULL,"If you are not going to use this feature, remove secure_file_priv from the [mariadbd] 
section of the MariaDB configuration file and restart the MariaDB service. 
If you need this feature add the following line to the [mariadbd] section of the MariaDB 
configuration file and restart the MariaDB service: 
secure_file_priv=<path_to_load_directory> "
4.8 Ensure 'sql_mode' Contains 'STRICT_ALL_TABLES' (Automated),"When data changing statements are made (i.e., INSERT, UPDATE), MariaDB can handle invalid or missing values differently depending on whether strict SQL mode is enabled. When strict SQL mode is enabled, data may not be truncated or otherwise ""adjusted"" to make the data changing statement work.",contains:VARIABLE_VALUE:STRICT_ALL_TABLES,"Set STRICT_ALL_TABLES to the sql_mode in the server's global configuration, for example: 
SET GLOBAL sql_mode 
='STRICT_ALL_TABLES,ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO
 _ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION';"
