CIS.NO,Subject,Description,Current Setting,Status,Remediation
2.1.5,Point-in-Time Recovery,With binlogs it is possible to implement point-in-time recovery. This makes it possible to restore the changes between the last full backup and the point-in-time. Enabling binlogs is not sufficient. The binlogs need to be backed up to separate media. The restore procedure should be created and tested. The data in the binlog files may contain sensitive information which needs be stored in the proper location with restrictive permissions and may require encryption.,"[{'VARIABLE_NAME': 'BINLOG_EXPIRE_LOGS_SECONDS', 'VARIABLE_VALUE': '0', 'Note': 'BINLOG - Log Expiration'}]",FAIL,"Enable binlogs, then create and test a restore procedure."
2.9,Ensure MariaDB is Bound to an IP Address,"By default, the MariaDB server accepts TCP/IP connections from MariaDB user accounts on all server host IPv6 and IPv4 interfaces. You can make this configuration more restrictive by setting the bind_address configuration option to a specific IPv4 or IPv6 address so that the server only accepts TCP/IP connections on that address.","[{'VARIABLE_NAME': 'BIND_ADDRESS', 'VARIABLE_VALUE': '0.0.0.0'}]",PASS,
2.10,Limit Accepted Transport Layer Security Versions,MariaDB supports multiple versions of TLS. The higher the version the stronger the security and/or better the performance.,"[{'value': 'TLSv1.2,TLSv1.3'}]",PASS,
2.11,Require Client-Side Certificates,Client-side certificates may be used as proof of identity.,"[{'user': '', 'host': 'localhost', 'ssl_type': ''}, {'user': '', 'host': 'linux-vm', 'ssl_type': ''}, {'user': 'admin', 'host': 'localhost', 'ssl_type': ''}, {'user': 'rohinth', 'host': '%', 'ssl_type': ''}]",FAIL,"Create or Alter users using the REQUIRE X509. 
For example: 
CREATE USER 'newuser2'@'%' IDENTIFIED BY <password> require x509; 
For accounts created with a REQUIRE X509 clause, clients must specify at least --ssl
cert and --ssl-key. In addition, --ssl-ca (or --ssl-capath) is recommended so that 
the public certificate provided by the server can be verified. 
For example: 
mysql --ssl-ca=ca.pem \ --ssl-cert=client-cert.pem \ --ssl-key=client-key.pem"
2.12,Ensure Only Approved Ciphers are Used,"MariaDB supports multiple encryption ciphers. Ciphers can vary in strength, speed and overhead.","[{'VARIABLE_NAME': 'SSL_CIPHER', 'VARIABLE_VALUE': ''}]",FAIL,"Set ssl_cipher to one or more approved cipher suites in your MariaDB configuration 
file, then restart MariaDB. 
For example, set: 
ssl_cipher='ECDHE-ECDSA-AES128-GCM-SHA256'"
4.4,Harden Usage for 'local_infile' on MariaDB Clients,The local_infile parameter dictates whether files located on the MariaDB client's computer can be loaded or selected via LOAD DATA INFILE or SELECT local_file.,"[{'VARIABLE_NAME': 'VERSION', 'VARIABLE_VALUE': '10.6.22-MariaDB-log'}, {'VARIABLE_NAME': 'LOCAL_INFILE', 'VARIABLE_VALUE': 'ON'}]",PASS,
4.6,Ensure Symbolic Links are Disabled,"The symbolic-links and skip-symbolic-links options for MariaDB determine whether symbolic link support is available. When use of symbolic links is enabled, they have different effects depending on the host platform. When symbolic links are disabled, then symbolic links stored in files or entries in tables are not used by the database.","[{'VARIABLE_NAME': 'HAVE_SYMLINK', 'VARIABLE_VALUE': 'YES'}]",FAIL,"Perform the following actions to remediate this setting: 
• Open the MariaDB configuration file (mariadb.cnf) 
• Locate skip-symbolic-links in the configuration 
• Set the skip-symbolic-links to YES 
Note: If skip-symbolic-links does not exist, add it to the configuration file in the 
mariadbd section"
4.7,Ensure the 'secure_file_priv' is Configured Correctly,"The secure_file_priv option restricts to paths used by LOAD DATA INFILE or SELECT local_file. It is recommended that this option be set to a file system location that contains only resources expected to be loaded by MariaDB. Even better, if data import/export using LOAD DATA INFILE or SELECT local_file is not used, the functionality should be disabled entirely by setting --secure-file-priv to NULL.","[{'VARIABLE_NAME': 'SECURE_FILE_PRIV', 'VARIABLE_VALUE': ''}]",FAIL,"If you are not going to use this feature, remove secure_file_priv from the [mariadbd] 
section of the MariaDB configuration file and restart the MariaDB service. 
If you need this feature add the following line to the [mariadbd] section of the MariaDB 
configuration file and restart the MariaDB service: 
secure_file_priv=<path_to_load_directory> "
4.8,Ensure 'sql_mode' Contains 'STRICT_ALL_TABLES',"When data changing statements are made (i.e., INSERT, UPDATE), MariaDB can handle invalid or missing values differently depending on whether strict SQL mode is enabled. When strict SQL mode is enabled, data may not be truncated or otherwise ""adjusted"" to make the data changing statement work.","[{'VARIABLE_NAME': 'SQL_MODE', 'VARIABLE_VALUE': 'STRICT_TRANS_TABLES,ERROR_FOR_DIVISION_BY_ZERO,NO_AUTO_CREATE_USER,NO_ENGINE_SUBSTITUTION'}]",FAIL,"Set STRICT_ALL_TABLES to the sql_mode in the server's global configuration, for example: 
SET GLOBAL sql_mode 
='STRICT_ALL_TABLES,ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO
 _ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION';"
4.9,Enable data-at-rest encryption in MariaDB,"Data-at-rest encryption protects the privacy of your information, prevents data breaches and helps meet regulatory requirements.","[{'VARIABLE_NAME': 'INNODB_ENCRYPT_TEMPORARY_TABLES', 'VARIABLE_VALUE': 'OFF'}, {'VARIABLE_NAME': 'INNODB_ENCRYPTION_THREADS', 'VARIABLE_VALUE': '0'}, {'VARIABLE_NAME': 'INNODB_ENCRYPT_LOG', 'VARIABLE_VALUE': 'OFF'}, {'VARIABLE_NAME': 'INNODB_ENCRYPTION_ROTATION_IOPS', 'VARIABLE_VALUE': '100'}, {'VARIABLE_NAME': 'INNODB_DEFAULT_ENCRYPTION_KEY_ID', 'VARIABLE_VALUE': '1'}, {'VARIABLE_NAME': 'ENCRYPT_TMP_FILES', 'VARIABLE_VALUE': 'OFF'}, {'VARIABLE_NAME': 'INNODB_ENCRYPT_TABLES', 'VARIABLE_VALUE': 'OFF'}, {'VARIABLE_NAME': 'ENCRYPT_BINLOG', 'VARIABLE_VALUE': 'OFF'}, {'VARIABLE_NAME': 'INNODB_ENCRYPTION_ROTATE_KEY_AGE', 'VARIABLE_VALUE': '1'}, {'VARIABLE_NAME': 'ARIA_ENCRYPT_TABLES', 'VARIABLE_VALUE': 'OFF'}, {'VARIABLE_NAME': 'ENCRYPT_TMP_DISK_TABLES', 'VARIABLE_VALUE': 'OFF'}]",FAIL,"MariaDB's data-at-rest encryption requires the use of a key management and 
encryption plugin. 
Create the key file: 
$ sudo mkdir -p /etc/mysql/encryption && (echo -n ""1;"" ; openssl rand -hex 32 
) | sudo tee -a  /etc/mysql/encryption/keyfile 
Generate a random encryption password:  
$ sudo openssl rand -hex 128 | sudo tee -a /etc/mysql/encryption/keyfile.key 
Encrypt the key file: 
$ sudo openssl enc -aes-256-cbc -md sha1 \ 
   -pass file:/etc/mysql/encryption/keyfile.key \ 
   -in /etc/mysql/encryption/keyfile \ 
   -out /etc/mysql/encryption/keyfile.enc 
Delete the unencrypted key file: 
$ sudo rm /etc/mysql/encryption/keyfile 
Set permissions and ownership on the keyfile and key: 
$ sudo chown mysql:mysql -R /etc/mysql/encryption 
$ sudo chmod 640 /etc/mysql/encryption/keyfile* 
Edit mariadb.cnf to resemble the following block, optionally uncommenting 
file_key_management_encryption_algorithm = AES_CTR: 
[mariadb] 
... 
plugin_load_add = file_key_management 
file_key_management_filename = /etc/mysql/encryption/keyfile.enc 
file_key_management_filekey = FILE:/etc/mysql/encryption/keyfile.key 
 
# Binary Log Encryption 
encrypt_binlog = ON 
# Redo Log Encryption 
innodb_encrypt_log = ON 
# Encrypting Temporary Files 
encrypt_tmp_files = ON 
# Encrypt Temporary Tables 
innodb_encrypt_temporary_tables = ON 
 
# You can configure InnoDB encryption to automatically have all new InnoDB 
tables automatically encrypted, or specify encrypt per table. 
innodb_encrypt_tables = ON 
 
# Uncomment the line below if utilizing MariaDB built with OpenSSL 
# file_key_management_encryption_algorithm = AES_CTR  
If needed, see References for information about 
file_key_management_encryption_algorithm and OpenSSL usage. 
Restart MariaDB: 
$ sudo systemctl restart mariadb.service 
Run ALTER to enable encryption (Note: This will lock the table as table is encrypted). 
ALTER TABLE tab1 
   ENCRYPTED=YES ENCRYPTION_KEY_ID=1; 
Revisit recommendation 3.10 after completing remediation."
