CIS.NO,Subject,Description,Current Settings,Status,Remediation
1.3,Ensure systemd Service Files Are Enabled,1.3 Ensure systemd Service Files Are Enabled,Audit not performed,FAIL,"Irrespective of package source, PostgreSQL services can be identified because it 
typically includes the text string ""postgresql"". PGDG installs do not automatically 
register the service as a ""want"" of the default systemd target. Multiple instances of 
PostgreSQL services often distinguish themselves using a version number. 
# whoami 
root 
# systemctl enable postgresql-17 
Created symlink /etc/systemd/system/multi-user.target.wants/postgresql
17.service ? /usr/lib/systemd/system/postgresql-17.service. 
# systemctl is-enabled postgresql-17.service 
enabled"
1.4,Ensure Data Cluster Initialized Successfully,1.4 Ensure Data Cluster Initialized Successfully,Audit not performed,FAIL,"Attempting to instantiate a data cluster to an existing non-empty directory will fail:

# whoami 
root 
# PGSETUP_INITDB_OPTIONS=""-k"" /usr/pgsql-17/bin/postgresql-17-setup initdb 
Data directory is not empty! 

In the case of a cluster instantiation failure, one must delete/remove the entire data 
cluster directory and repeat the initdb command: 

# whoami 
root 
# rm -rf ~postgres/17 
# PGSETUP_INITDB_OPTIONS=""-k"" /usr/pgsql-17/bin/postgresql-17-setup initdb 
Initializing database ... OK"
2.2,Ensure extension directory has appropriate ownership and permissions,2.2 Ensure extension directory has appropriate ownership and permissions,Audit not performed,FAIL,"If needed, correct the permissions on the extension dir by executing: 

# whoami 
root 
# chown -c root:root $(/usr/pgsql-17/bin/pg_config --sharedir)/extension 
# chmod -c 0755 $(/usr/pgsql-17/bin/pg_config --sharedir)/extension 

If the permissions needed correct, it is imperative that all extensions found in 
$(/usr/pgsql-17/bin/pg_config --sharedir)/extension are evaluated to ensure 
they have not been modified!"
2.3,Disable PostgreSQL Command History,2.3 Disable PostgreSQL Command History,Audit not performed,FAIL,"For each OS user on the PostgreSQL server, perform the following steps to implement 
this setting: 

1. Remove .psql_history if it exists. 
# whoami 
root 
# rm -f ~<user>/.psql_history || true 

2. Use either of the techniques below to prevent it from being created again: 
     1. Set the HISTFILE variable to /dev/null in ~<user>/.psqlrc 
          # whoami 
          root 
          # cat << EOF >> ~<user>/.psqlrc 
          \set HISTFILE /dev/null 
          EOF 

      2. Create ~<user>/.psql_history as a symbolic to /dev/null. 
           # whoami 
           root 
           # ln -s /dev/null $HOME/.psql_history 
           ``
      3. Set the PSQL_HISTORY variable for all users:
           # whoami 
           root 
           # echo 'PSQL_HISTORY=/dev/null' >> /etc/environment"
3.1.2,Ensure the log destinations are set correctly,3.1.2 Ensure the log destinations are set correctly,null,FAIL,"Execute the following SQL statements to remediate this setting (in this example, setting 
the log destination to csvlog): 

postgres=# alter system set log_destination = 'csvlog'; 
ALTER SYSTEM 
postgres=# select pg_reload_conf(); 
pg_reload_conf ---------------- 
t 
(1 row) 

Note: If more than one log destination is to be used, set this parameter to a list of 
desired log destinations separated by commas (e.g. 'csvlog, stderr')."
3.1.3,Ensure the logging collector is enabled,3.1.3 Ensure the logging collector is enabled,"""on""",PASS,
3.1.4,Ensure the log file destination directory is set correctly,3.1.4 Ensure the log file destination directory is set correctly,"Error: ERROR:  permission denied to examine ""log_directory""
DETAIL:  Only roles with privileges of the ""pg_read_all_settings"" role may examine this parameter.",FAIL,"Execute the following SQL statement(s) to remediate this setting: 

postgres=# alter system set log_directory='/var/log/postgres'; 
ALTER SYSTEM 
postgres=# select pg_reload_conf(); 
pg_reload_conf ---------------- 
t 
(1 row) 
postgres=# show log_directory; 
log_directory --------------- 
/var/log/postgres 
(1 row)"
3.1.5,Ensure the filename pattern for log files is set correctly,3.1.5 Ensure the filename pattern for log files is set correctly,"Error: ERROR:  permission denied to examine ""log_filename""
DETAIL:  Only roles with privileges of the ""pg_read_all_settings"" role may examine this parameter.",FAIL,"Execute the following SQL statement(s) to remediate this setting:

postgres=# alter system set log_filename='postgresql-%Y%m%d.log'; 
ALTER SYSTEM 
postgres=# select pg_reload_conf(); 
 pg_reload_conf ---------------- 
 t 
(1 row) 
postgres=# show log_filename; 
   log_filename ------------------- 
 postgresql-%Y%m%d.log 
(1 row)"
3.1.6,Ensure the log file permissions are set correctly,3.1.6 Ensure the log file permissions are set correctly,"""0640""",PASS,
3.1.7,Ensure 'log_truncate_on_rotation' is enabled,3.1.7 Ensure 'log_truncate_on_rotation' is enabled,"""off""",FAIL,"Execute the following SQL statement(s) to remediate this setting: 

postgres=# alter system set log_truncate_on_rotation = 'on'; 
ALTER SYSTEM 
postgres=# select pg_reload_conf(); 
 pg_reload_conf ---------------- 
 t 
(1 row) 
postgres=# show log_truncate_on_rotation; 
 log_truncate_on_rotation -------------------------- 
 on 
(1 row)"
