Name,Description,Settings,Remediation
1.1 Ensure Latest SQL Server Cumulative and Security Updates are Installed (Manual),"SQL Server patches contain program updates that fix security and product functionality issues found in the software. These patches can be installed with a security update, which is a single patch, or a cumulative update which is a group of patches. The SQL Server version and patch levels should be the most recent compatible with the organizations' operational needs.",Manual,"Identify the current version and patch level of your SQL Server instances and ensure they contain the latest security fixes. Make sure to test these fixes in your test environments before updating production instances. 
The most recent SQL Server patches can be found here: 
        https://learn.microsoft.com/en-us/troubleshoot/sql/releases/download-and-install-lates-updates"
2.1 Ensure 'Ad Hoc Distributed Queries' Server Configuration Option is set to '0' (Automated),Enabling Ad Hoc Distributed Queries allows users to query data and execute statements on external data sources. This functionality should be disabled.,"""name"": ""Ad Hoc Distributed Queries"",""value_configured"": 0,""value_in_use"": 0","For AWS RDS Instances, please refer to the documentation for using Parameter Groups here: 
        https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_WorkingWithParamGroups.html

Run the following T-SQL command: 
EXECUTE sp_configure 'show advanced options', 1; 
RECONFIGURE; 
EXECUTE sp_configure 'Ad Hoc Distributed Queries', 0; 
RECONFIGURE; 
GO 
EXECUTE sp_configure 'show advanced options', 0; 
RECONFIGURE;  "
2.2 Ensure 'CLR Enabled' Server Configuration Option is set to '0' (Automated),The clr enabled option specifies whether user assemblies can be run by SQL Server.,"""name"": ""clr enabled"",""value_configured"": 0,""value_in_use"": 0","For AWS RDS Instances, please refer to the documentation for using Parameter Groups here: 
        https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_WorkingWithParamGrops.html
 
Run the following T-SQL command: 
EXECUTE sp_configure 'clr enabled', 0; 
RECONFIGURE; "
2.3 Ensure 'Cross DB Ownership Chaining' Server Configuration Option is set to '0' (Automated),The cross db ownership chaining option controls cross-database ownership chaining across all databases at the instance (or server) level.,"""name"": ""cross db ownership chaining"",""value_configured"": 0,""value_in_use"": 0","For AWS RDS Instances, please refer to the documentation for using Parameter Groups here: 
       https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_WorkingWithParamGroups.html
 
Run the following T-SQL command: 
EXECUTE sp_configure 'cross db ownership chaining', 0; 
RECONFIGURE; 
GO  "
2.4 Ensure 'Database Mail XPs' Server Configuration Option is set to '0' (Automated),The Database Mail XPs option controls the ability to generate and transmit email messages from SQL Server.,"""name"": ""Database Mail XPs"",""value_configured"": 0,""value_in_use"": 0","Run the following T-SQL command: 

EXECUTE sp_configure 'show advanced options', 1; 
RECONFIGURE; 
EXECUTE sp_configure 'Database Mail XPs', 0; 
RECONFIGURE; 
GO 
EXECUTE sp_configure 'show advanced options', 0; 
RECONFIGURE;"
2.5 Ensure 'Ole Automation Procedures' Server Configuration Option is set to '0' (Automated),The Ole Automation Procedures option controls whether OLE Automation objects can be instantiated within Transact-SQL batches. These are extended stored procedures that allow SQL Server users to execute functions external to SQL Server.,"""name"": ""Ole Automation Procedures"",""value_configured"": 0,""value_in_use"": 0","Run the following T-SQL command: 

EXECUTE sp_configure 'show advanced options', 1; 
RECONFIGURE; 
EXECUTE sp_configure 'Ole Automation Procedures', 0; 
RECONFIGURE; 
GO 
EXECUTE sp_configure 'show advanced options', 0; 
RECONFIGURE;"
2.6 Ensure 'Remote Access' Server Configuration Option is set to '0' (Automated),The remote access option controls the execution of local stored procedures on remote servers or remote stored procedures on local server.,"""name"": ""remote access"",""value_configured"": 0,""value_in_use"": 0","For AWS RDS Instances, please refer to the documentation for using Parameter Groups here: 
        https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_WorkingWithParamGroups.html


Otherwise, run the following T-SQL command: 
EXECUTE sp_configure 'show advanced options', 1; 
RECONFIGURE; 
EXECUTE sp_configure 'remote access', 0; 
RECONFIGURE; 
GO 
EXECUTE sp_configure 'show advanced options', 0; 
RECONFIGURE; 

Restart the Database Engine."
2.7 Ensure 'Remote Admin Connections' Server Configuration Option is set to '0' (Automated),The remote admin connections option controls whether a client application on a remote computer can use the Dedicated Administrator Connection (DAC).,"""name"": ""remote admin connections"",""value_configured"": 0,""value_in_use"": 0","Run the following T-SQL command on non-clustered installations: 

EXECUTE sp_configure 'remote admin connections', 0; 
RECONFIGURE; 
GO "
2.8 Ensure 'Scan For Startup Procs' Server Configuration Option is set to '0' (Automated),"The scan for startup procs option, if enabled, causes SQL Server to scan for and automatically run all stored procedures that are set to execute upon service startup.","""name"": ""scan for startup procs"",""value_configured"": 0,""value_in_use"": 0","Run the following T-SQL command: 

EXECUTE sp_configure 'show advanced options', 1; 
RECONFIGURE; 
EXECUTE sp_configure 'scan for startup procs', 0; 
RECONFIGURE; 
GO 
EXECUTE sp_configure 'show advanced options', 0; 
RECONFIGURE;
 
Restart the Database Engine. "
2.9 Ensure 'Trustworthy' Database Property is set to 'Off' (Automated),The TRUSTWORTHY database option allows database objects to access objects in other databases under certain circumstances.,null,"Execute the following T-SQL statement against the databases (replace <database_name> below) returned by the Audit Procedure: 

ALTER DATABASE [<database_name>] SET TRUSTWORTHY OFF;"
