name,expected_value,comparison_type,field_to_check,description
"2.2.1 Ensure 'AUDIT_SYS_OPERATIONS' Is Set to 'TRUE' (Scored')			",TRUE,equals,VALUE,The AUDIT_SYS_OPERATIONS setting provides for the auditing of all user activities conducted under the SYSOPER and SYSDBA accounts. The setting should be set to TRUE to enable this auditing.
"2.2.2 Ensure 'AUDIT_TRAIL' Is Set to 'DB', 'XML', 'OS', 'DB,EXTENDED', or 'XML,EXTENDED' (Scored)			","DB,XML,OS,DB,EXTENDED,XML,EXTENDED",in_list,VALUE,"The audit_trail setting determines whether or not Oracle's basic audit features are enabled. It can be set to ""Operating System""(OS); DB; DB,EXTENDED; XML; or XML,EXTENDED. The value should be set according to the needs of the organization."
"2.2.3 Ensure 'GLOBAL_NAMES' Is Set to 'TRUE' (Scored)			",TRUE,equals,VALUE,The global_names setting requires that the name of a database link matches that of the remote database it will connect to. This setting should have a value of TRUE.
"2.2.4 Ensure 'O7_DICTIONARY_ACCESSIBILITY' Is Set to 'FALSE' (Scored)			",FALSE,equals,VALUE,"The O7_dictionary_accessibility setting is a database initialization parameter that allows/disallows access to objects with the ANY privileges (SELECT ANY TABLE, DELETE ANY TABLE, EXECUTE ANY PROCEDURE, etc.). This functionality was created for the ease of migration from Oracle 7 databases to later versions. The setting should have a value of FALSE."
"2.2.5 Ensure 'OS_ROLES' Is Set to 'FALSE' (Scored)			",FALSE,equals,VALUE,The os_roles setting permits externally created groups to be applied to database management.
"2.2.6 Ensure 'REMOTE_LISTENER' Is Empty (Scored)			",null,equals,VALUE,The remote_listener setting determines whether or not a valid listener can be established on a system separate from the database instance. This setting should be empty unless the organization specifically needs a valid listener on a separate system or on nodes running Oracle RAC instances.
"2.2.7 Ensure 'REMOTE_LOGIN_PASSWORDFILE' Is Set to 'NONE' (Scored)			",NONE,equals,VALUE,"The remote_login_passwordfile setting specifies whether or not Oracle checks for a password file during login and how many databases can use the password file. The setting should have a value of NONE or in the event you are running DR/Data Guard, EXCLUSIVE is an allowable value."
"2.2.8 Ensure 'REMOTE_OS_AUTHENT' Is Set to 'FALSE' (Scored)			",FALSE,equals,VALUE,The remote_os_authent setting determines whether or not OS 'roles' with the attendant privileges are allowed for remote client connections. This setting should have a value of FALSE.
"2.2.9 Ensure 'REMOTE_OS_ROLES' Is Set to 'FALSE' (Scored)			",FALSE,equals,VALUE,The remote_os_roles setting permits remote users' OS roles to be applied to database management. This setting should have a value of FALSE.
"2.2.10 Ensure 'UTL_FILE_DIR' Is Empty (Scored)			",null,equals,VALUE,The utl_file_dir setting allows packages like utl_file to access (read/write/modify/delete) files specified in utl_file_dir. This setting should have an empty value. Note: The utl_file_dir parameter has been deprecated in 12.2 and higher versions.
