CIS.NO,Subject,Description,Current Settings,Status,Remediation
2.2.1,Ensure 'AUDIT_SYS_OPERATIONS' Is Set to 'TRUE' (Scored'),The AUDIT_SYS_OPERATIONS setting provides for the auditing of all user activities conducted under the SYSOPER and SYSDBA accounts. The setting should be set to TRUE to enable this auditing.,Missing 'VALUE',FAIL,"To remediate this setting, execute the following SQL statement and restart the instance. 
ALTER SYSTEM SET AUDIT_SYS_OPERATIONS = TRUE SCOPE=SPFILE;"
2.2.2,Ensure 'AUDIT_TRAIL' Is Set to 'DB'  'XML'  'OS'  'DB EXTENDED' or 'XML EXTENDED' (Scored),"The audit_trail setting determines whether or not Oracle's basic audit features are enabled. It can be set to ""Operating System""(OS); DB; DB,EXTENDED; XML; or XML,EXTENDED. The value should be set according to the needs of the organization.",VALUE = NONE,FAIL,"To remediate this setting, execute one of the following SQL statements and restart the 
instance. 
ALTER SYSTEM SET AUDIT_TRAIL = DB, EXTENDED SCOPE = SPFILE; 
ALTER SYSTEM SET AUDIT_TRAIL = OS SCOPE = SPFILE; 
ALTER SYSTEM SET AUDIT_TRAIL = XML, EXTENDED SCOPE = SPFILE; 
ALTER SYSTEM SET AUDIT_TRAIL = DB SCOPE = SPFILE; 
ALTER SYSTEM SET AUDIT_TRAIL = XML SCOPE = SPFILE;"
2.2.3,Ensure 'GLOBAL_NAMES' Is Set to 'TRUE' (Scored),The global_names setting requires that the name of a database link matches that of the remote database it will connect to. This setting should have a value of TRUE.,VALUE = FALSE,FAIL,"To remediate this setting, execute the following SQL statement. 
ALTER SYSTEM SET GLOBAL_NAMES = TRUE SCOPE = SPFILE;"
2.2.4,Ensure 'O7_DICTIONARY_ACCESSIBILITY' Is Set to 'FALSE' (Scored),"The O7_dictionary_accessibility setting is a database initialization parameter that allows/disallows access to objects with the ANY privileges (SELECT ANY TABLE, DELETE ANY TABLE, EXECUTE ANY PROCEDURE, etc.). This functionality was created for the ease of migration from Oracle 7 databases to later versions. The setting should have a value of FALSE.",'results' is null,FAIL,"To remediate this setting, execute the following SQL statement. 
ALTER SYSTEM SET O7_DICTIONARY_ACCESSIBILITY=FALSE SCOPE = SPFILE;"
2.2.5,Ensure 'OS_ROLES' Is Set to 'FALSE' (Scored),The os_roles setting permits externally created groups to be applied to database management.,All checks passed,PASS,
2.2.6,Ensure 'REMOTE_LISTENER' Is Empty (Scored),The remote_listener setting determines whether or not a valid listener can be established on a system separate from the database instance. This setting should be empty unless the organization specifically needs a valid listener on a separate system or on nodes running Oracle RAC instances.,All checks passed,PASS,
2.2.7,Ensure 'REMOTE_LOGIN_PASSWORDFILE' Is Set to 'NONE' (Scored),"The remote_login_passwordfile setting specifies whether or not Oracle checks for a password file during login and how many databases can use the password file. The setting should have a value of NONE or in the event you are running DR/Data Guard, EXCLUSIVE is an allowable value.",VALUE = EXCLUSIVE,FAIL,"To remediate this setting, execute the following SQL statement. 
ALTER SYSTEM SET REMOTE_LOGIN_PASSWORDFILE = 'NONE' SCOPE = SPFILE;"
2.2.8,Ensure 'REMOTE_OS_AUTHENT' Is Set to 'FALSE' (Scored),The remote_os_authent setting determines whether or not OS 'roles' with the attendant privileges are allowed for remote client connections. This setting should have a value of FALSE.,'results' is null,FAIL,"To remediate this setting, execute the following SQL statement. 
ALTER SYSTEM SET REMOTE_OS_AUTHENT = FALSE SCOPE = SPFILE;"
2.2.9,Ensure 'REMOTE_OS_ROLES' Is Set to 'FALSE' (Scored),The remote_os_roles setting permits remote users' OS roles to be applied to database management. This setting should have a value of FALSE.,All checks passed,PASS,
2.2.10,Ensure 'UTL_FILE_DIR' Is Empty (Scored),The utl_file_dir setting allows packages like utl_file to access (read/write/modify/delete) files specified in utl_file_dir. This setting should have an empty value. Note: The utl_file_dir parameter has been deprecated in 12.2 and higher versions.,'results' is null,FAIL,"To remediate this setting, execute the following SQL statement. 
ALTER SYSTEM SET UTL_FILE_DIR = '' SCOPE = SPFILE;"
2.2.11,Ensure 'SEC_CASE_SENSITIVE_LOGON' Is Set to 'TRUE' (Scored),The SEC_CASE_SENSITIVE_LOGON information determines whether or not case-sensitivity is required for passwords during login.,'results' is null,FAIL,"To remediate this setting, execute the following SQL statement.
 ALTER SYSTEM SET SEC_CASE_SENSITIVE_LOGON = TRUE SCOPE = SPFILE;"
2.2.12,Ensure 'SEC_MAX_FAILED_LOGIN_ATTEMPTS' Is '3' or Less (Scored),The SEC_MAX_FAILED_LOGIN_ATTEMPTS parameter determines how many failed login attempts are allowed before Oracle closes the login connection.,All checks passed,PASS,
2.2.13,"Ensure 'SEC_PROTOCOL_ERROR_FURTHER_ACTION' Is Set to 'DROP,3' (Scored)","The SEC_PROTOCOL_ERROR_FURTHER_ACTION setting determines the Oracle server's response to bad/malformed packets received from the client. This setting should have a value of DROP,3, which will cause a connection to be dropped after three bad/malformed packets",All checks passed,PASS,
2.2.14,Ensure 'SEC_PROTOCOL_ERROR_TRACE_ACTION' Is Set to 'LOG' (Scored),"The SEC_PROTOCOL_ERROR_TRACE_ACTION setting determines the Oracle's server's logging response level to bad/malformed packets received from the client by generating ALERT, LOG, or TRACE levels of detail in the log files. This setting should have a value of LOG unless the organization has a compelling reason to use a different value because LOG should cause the necessary information to be logged. Setting the value as TRACE can generate an enormous amount of log output and should be reserved for debugging only.",VALUE = TRACE,FAIL,"To remediate this setting, execute the following SQL statement.
 ALTER SYSTEM SET SEC_PROTOCOL_ERROR_TRACE_ACTION=LOG SCOPE = SPFILE;"
2.2.15,Ensure 'SEC_RETURN_SERVER_RELEASE_BANNER' Is Set to 'FALSE' (Scored),The information about patch/update release number provides information about the exact patch/update release that is currently running on the database. This is sensitive information that should not be revealed to anyone who requests it.,All checks passed,PASS,
2.2.16,Ensure 'SQL92_SECURITY' Is Set to 'TRUE' (Scored),The SQL92_SECURITY parameter setting TRUE requires that a user must also be granted the SELECT object privilege before being able to perform UPDATE or DELETE operations on tables that have WHERE or SET clauses. The setting should have a value of TRUE,All checks passed,PASS,
2.2.17,Ensure '_trace_files_public' Is Set to 'FALSE' (Scored),The _trace_files_public setting determines whether or not the system's trace file is world readable. This setting should have a value of FALSE to restrict trace file access.,"ERROR: ORA-00942: table or view ""SYS"".""X_$KSPPCV"" does not exist",FAIL,"To remediate this setting, execute the following SQL statement. 
ALTER SYSTEM SET ""_trace_files_public"" = FALSE SCOPE = SPFILE;"
2.2.18,Ensure 'RESOURCE_LIMIT' Is Set to 'TRUE' (Scored),RESOURCE_LIMIT determines whether resource limits are enforced in database profiles. This setting should have a value of TRUE.,All checks passed,PASS,
3.1,Ensure 'FAILED_LOGIN_ATTEMPTS' Is Less than or Equal to '5' (Scored),"The FAILED_LOGIN_ATTEMPTS setting determines how many failed login attempts are permitted before the system locks the user's account. While different profiles can have different and more restrictive settings, such as USERS and APPS, the minimum(s) recommended here should be set on the DEFAULT profile.",Results are null or empty,PASS,
3.2,Ensure 'PASSWORD_LOCK_TIME' Is Greater than or Equal to '1' (Scored),The PASSWORD_LOCK_TIME setting determines how many days must pass for the user's account to be unlocked after the set number of failed login attempts has occurred. The suggested value for this is one day or greater.,Results are null or empty,PASS,
